Año de publicación;Autores;Titulo del articulo;DOI correcto;Palabras clave;Resumen muy corto;Relevancia con fitosanidad en arándanos;Estado Descarga;Ruta Local;Hoja Origen;URL ArXiv
2021;Andrea Albanese, Matteo Nardello, Davide Brunelli;Automated Pest Detection with DNN on the Edge for Precision Agriculture;10.1109/JETCAS.2021.3101740;"cs.LG, cs.CV; crop disease; detection; deep learning; pest; agriculture; precision agriculture";Artificial intelligence has smoothly penetrated several economic activities, especially monitoring and control applications, including the agriculture sector.;Alta (16);Success;arxiv-2108.00421.pdf;ArXiv MCP Search;http://arxiv.org/abs/2108.00421v1
2024;Tianqi Wei, Zhi Chen, Xin Yu, Scott Chapman, Paul Melloy, Zi Huang;PlantSeg: A Large-Scale In-the-wild Dataset for Plant Disease Segmentation;ArXiv:2409.04038;"cs.CV; plant disease; classification; agriculture; precision agriculture";Plant diseases pose significant threats to agriculture. It necessitates proper diagnosis and effective treatment to safeguard crop yields.;Media (11);Success;arxiv-2409.04038.pdf;ArXiv MCP Search;http://arxiv.org/abs/2409.04038v1
2024;Ryosuke Wayama, Yuki Sasaki, Satoshi Kagiwada, Nobusuke Iwasaki, Hitoshi Iyatomi;Investigation to answer three key questions concerning plant pest identification and development of a practical identification framework;10.1016/j.compag.2024.109021;"cs.CV; berry; detection; pest";The development of practical and robust automated diagnostic systems for identifying plant pests is crucial for efficient agricultural production.;Media (9);Success;arxiv-2407.18000.pdf;ArXiv MCP Search;http://arxiv.org/abs/2407.18000v1
2025;Moshiur Rahman Tonmoy, Md. Mithun Hossain, Nilanjan Dey, M. F. Mridha;MobilePlantViT: A Mobile-friendly Hybrid ViT for Generalized Plant Disease Image Classification;ArXiv:2503.16628;"cs.CV, cs.AI, cs.LG; plant disease; deep learning; classification; agriculture";Plant diseases significantly threaten global food security by reducing crop yields and undermining agricultural sustainability.;Media (10);Success;arxiv-2503.16628.pdf;ArXiv MCP Search;http://arxiv.org/abs/2503.16628v1
2025;Nitin Rai, Daeun, Choi, Nathan S. Boyd, Arnold W. Schumann;Advancing site-specific disease and pest management in precision agriculture: From reasoning-driven foundation models to adaptive, feedback-based learning;ArXiv:2510.24650;"cs.AI; pest management; crop disease; deep learning; pest; agriculture; precision agriculture";Site-specific disease management (SSDM) in crops has advanced rapidly through machine and deep learning (ML and DL) for real-time computer vision. Research evolved from handcrafted feature extraction to large-scale automated feature learning.;Alta (18);Success;arxiv-2510.24650.pdf;ArXiv MCP Search;http://arxiv.org/abs/2510.24650v1
2025;Hele Zhu, Xinyi Huang, Haojia Gao, Mengfei Jiang, Haohua Que, Lei Mu;A Wireless Collaborated Inference Acceleration Framework for Plant Disease Recognition;ArXiv:2505.02877;"cs.LG, cs.AI, cs.CV; plant disease; deep learning";Plant disease is a critical factor affecting agricultural production. Traditional manual recognition methods face significant drawbacks, including low accuracy, high costs, and inefficiency.;Baja (6);Success;arxiv-2505.02877.pdf;ArXiv MCP Search;http://arxiv.org/abs/2505.02877v1
2025;Anand Kumar, Harminder Pal Monga, Tapasi Brahma, Satyam Kalra, Navas Sherif;Mobile-Friendly Deep Learning for Plant Disease Detection: A Lightweight CNN Benchmark Across 101 Classes of 33 Crops;ArXiv:2508.10817;"cs.CV, cs.LG; plant disease; detection; deep learning; classification";Plant diseases are a major threat to food security globally. It is important to develop early detection systems which can accurately detect. The advancement in computer vision techniques has the potential to solve this challenge.;Media (10);Success;arxiv-2508.10817.pdf;ArXiv MCP Search;http://arxiv.org/abs/2508.10817v1
2020;Edson Bollis, Helio Pedrini, Sandra Avila;Weakly Supervised Learning Guided by Activation Mapping Applied to a Novel Citrus Pest Benchmark;ArXiv:2004.11252;"cs.CV, cs.LG; pest management; integrated pest; detection; classification; pest; insect; agriculture";Pests and diseases are relevant factors for production losses in agriculture and, therefore, promote a huge investment in the prevention and detection of its causative agents.;Alta (20);Success;arxiv-2004.11252.pdf;ArXiv MCP Search;http://arxiv.org/abs/2004.11252v1
2022;Ornela Nanushi, Vasileios Sitokonstantinou, Ilias Tsoumas, Charalampos Kontoes;Pest presence prediction using interpretable machine learning;ArXiv:2205.07723;"cs.LG, cs.CV; rust; pest; insect";Helicoverpa Armigera, or cotton bollworm, is a serious insect pest of cotton crops that threatens the yield and the quality of lint. The timely knowledge of the presence of the insects in the field is crucial for effective farm interventions.;Media (8);Success;arxiv-2205.07723.pdf;ArXiv MCP Search;http://arxiv.org/abs/2205.07723v1
2024;Matheus Rakes, Maíra Chagas Morais, Leandro do Prado Ribeiro, Gabriel Rodrigues Palma, Rafael de Andrade Moral, Daniel Bernardi, Anderson Dionei Grützmacher;The temperature affects the impact levels of synthetic insecticides on a parasitoid wasp used in the biological control of pentatomid pests in soybean crops;ArXiv:2403.05479;"q-bio.QM; climate; temperature; pest; insect; biological control; insecticide";The impact of climate change has led to growing global concern about the interaction of temperature and xenobiotics in agricultural toxicological studies.;Alta (18);Success;arxiv-2403.05479.pdf;ArXiv MCP Search;http://arxiv.org/abs/2403.05479v1
2023;Ilias Tsoumas, Vasileios Sitokonstantinou, Georgios Giannarakis, Evagelia Lampiri, Christos Athanassiou, Gustau Camps-Valls, Charalampos Kontoes, Ioannis Athanasiadis;Causality and Explainability for Trustworthy Integrated Pest Management;ArXiv:2312.04343;"cs.LG, cs.AI; pest management; integrated pest; ipm; rust; climate; pest; pesticide";Pesticides serve as a common tool in agricultural pest control but significantly contribute to the climate crisis. To combat this, Integrated Pest Management (IPM) stands as a climate-smart alternative.;Alta (26);Success;arxiv-2312.04343.pdf;ArXiv MCP Search;http://arxiv.org/abs/2312.04343v1
2016;Sharada Prasanna Mohanty, David Hughes, Marcel Salathe;Using Deep Learning for Image-Based Plant Disease Detection;ArXiv:1604.03169;"cs.CV; plant disease; crop disease; rust; detection; deep learning";Crop diseases are a major threat to food security, but their rapid identification remains difficult in many parts of the world due to the lack of the necessary infrastructure.;Alta (15);Success;arxiv-1604.03169.pdf;ArXiv MCP Search;http://arxiv.org/abs/1604.03169v2
2025;Jiaqi Zhang, Zhuodong Liu, Kejian Yu;MSFNet-CPD: Multi-Scale Cross-Modal Fusion Network for Crop Pest Detection;ArXiv:2505.02441;"cs.AI; detection; deep learning; pest; crop protection";Accurate identification of agricultural pests is essential for crop protection but remains challenging due to the large intra-class variance and fine-grained differences among pest species.;Media (10);Success;arxiv-2505.02441.pdf;ArXiv MCP Search;http://arxiv.org/abs/2505.02441v1
2025;Santwana Sagnika, Manav Malhotra, Ishtaj Kaur Deol, Soumyajit Roy, Swarnav Kumar;PlantDiseaseNet-RT50: A Fine-tuned ResNet50 Architecture for High-Accuracy Plant Disease Detection Beyond Standard CNNs;10.1109/ACROSET66531.2025.11281259;"cs.CV, cs.AI, cs.LG; plant disease; detection; deep learning; classification";Plant diseases pose a significant threat to agricultural productivity and global food security, accounting for 70-80% of crop losses worldwide.;Media (10);Success;arxiv-2512.18500.pdf;ArXiv MCP Search;http://arxiv.org/abs/2512.18500v1
2026;Anirudha Ghosh, Ritam Sarkar, Debaditya Barman;Context-Aware Pesticide Recommendation via Few-Shot Pest Recognition for Precision Agriculture;ArXiv:2601.00243;"cs.CV; pest management; detection; pest; pesticide; agriculture; precision agriculture";Effective pest management is crucial for enhancing agricultural productivity, especially for crops such as sugarcane and wheat that are highly vulnerable to pest infestations.;Alta (17);Success;arxiv-2601.00243.pdf;ArXiv MCP Search;http://arxiv.org/abs/2601.00243v1
2023;Mingle Xu, Hyongsuk Kim, Jucheng Yang, Alvaro Fuentes, Yao Meng, Sook Yoon, Taehyun Kim, Dong Sun Park;Embrace Limited and Imperfect Training Datasets: Opportunities and Challenges in Plant Disease Recognition Using Deep Learning;10.3389/fpls.2023.1225409;"cs.CV; plant disease; deep learning; agriculture";Recent advancements in deep learning have brought significant improvements to plant disease recognition. However, achieving satisfactory performance often requires high-quality training datasets, which are challenging and expensive to collect.;Media (8);Success;arxiv-2305.11533.pdf;ArXiv MCP Search;http://arxiv.org/abs/2305.11533v2
2023;Jinli Duan, Haoyu Ding, Sung Kim;A Multimodal Approach for Advanced Pest Detection and Classification;ArXiv:2312.10948;"cs.CV, cs.AI; detection; deep learning; classification; pest; agriculture";This paper presents a novel multi modal deep learning framework for enhanced agricultural pest detection, combining tiny-BERT's natural language processing with R-CNN and ResNet-18's image processing.;Media (11);Success;arxiv-2312.10948.pdf;ArXiv MCP Search;http://arxiv.org/abs/2312.10948v1
